id,simulation,avg_cav_dist,reward,meanSpeed,travelTime,duration,timeLoss,departDelay,waitingTime,waitingCount
1,1,526.2283956796139,-50001.0,59.75355305141002,322.7239334697053,165.53406312197882,27.571589422803566,629.2820870059714,0.0,0
1,2,501.6976784623595,-99389.0,59.17624517737329,326.00378769379864,167.57819850831905,29.426701090074516,567.7370051635118,1.6,2
1,3,524.6643741020539,-148640.0,59.46890571370769,324.47920659081836,166.48559884559904,28.411714285714353,559.9172005772002,1.4,2
1,4,523.5705483917834,-197030.0,59.59465692428644,323.26160599431194,165.5911592505855,27.336443208430946,536.0408079625291,0.0,0
1,5,519.9554167293775,-245576.0,59.08594971131447,326.5399227064007,167.58545027867424,29.585139337048997,541.7509240246402,0.0,0
1,6,538.4063820084901,-296077.0,59.38674813824131,324.78143464948624,166.1625610106231,28.22838070628764,637.3095033017496,1.3,2
1,7,524.4676509324819,-344762.0,59.81453852352959,322.3735035717452,165.26902524955975,27.420907222548426,534.6520845566654,0.9,1
1,8,500.14496457172424,-393416.0,59.71165469138519,322.80646782579385,165.85054629097178,27.769272570442787,554.4506325474403,0.0,0
1,9,511.05279414268585,-441571.0,59.71545840606376,323.18788603002463,165.6387873513199,27.343121554975394,548.1974760661433,0.0,0
1,10,518.4250959933884,-490775.0,60.216048255984475,320.28175056393275,163.8691532258066,26.427681451612905,527.9623559907835,0.0,0
2,1,993.5667642352171,462302.40000001964,60.42497741576869,318.9555213061468,163.65630153121288,25.617173144876304,595.5599234393404,0.0,0
2,2,884.583141480268,911690.7000002522,59.795327465174296,322.47770424347675,165.7219505094614,27.527243085880652,551.55152838428,0.0,0
2,3,923.1310660978461,1368029.1000001454,59.338982203808186,325.0460922003425,166.89855699855715,28.797015873015898,511.1122077922076,1.1,1
2,4,951.4410048442268,1826861.6999997937,60.185691261594016,320.4219457895207,164.4691159250583,26.238992974238887,504.00790398126435,0.8999999999999999,2
2,5,953.3462644048224,2277708.899999277,60.0508544010694,321.18070755403977,164.94605456145499,26.973091815781842,494.54713992373155,0.0,0
2,6,945.2763657472497,2735783.599998014,60.08136341494465,320.99245466120306,164.37813040969397,26.269593190998275,533.7410559723023,0.0,0
2,7,913.842452894102,3186746.69999714,60.13560046032016,320.9908153082515,164.8582795067528,27.0674310041104,486.18185554903084,0.0,0
2,8,881.5435257503264,3630575.0999963693,59.92249849724486,321.6245564455202,165.35583668775146,27.30772282921228,539.794508338125,0.0,0
2,9,880.0221853591103,4079187.299995706,60.319756908436354,320.0894479051576,164.33437771975645,26.109599651871175,485.50794894110794,0.1,1
2,10,905.8461275344667,4536449.699996077,60.75553271433656,317.4227708394464,163.23343894009204,25.662566244239656,495.74222350230497,0.0,0
3,1,1085.3873950929062,-1686565.5000000522,59.79906989643828,322.4035911727743,165.48817173727613,27.525015638328096,550.3182826272404,0.0,0
3,2,1036.9857341372028,-3107316.1000017812,59.57962566253636,323.6232119488918,166.27934595524943,28.15912220309805,512.7120481927709,0.0,0
3,3,1029.3839136554047,-4388399.600003456,59.644252705438426,323.4576698699859,165.97806637806676,27.80687734487731,487.44877344877364,0.0,0
3,4,1033.9863616312803,-6053780.299999233,60.097170329976784,321.0536076063163,165.7868852459013,27.44055035128806,435.48949063231834,0.0,0
